time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-11T12:05:41.830Z,33.6364,76.2087,35,4.4,mb,,95,2.452,0.95,us,us2000hckv,2018-11-21T18:19:09.040Z,"54km NE of Kishtwar, India",earthquake,9.5,2,0.085,40,reviewed,us,us
2018-09-01T12:21:07.290Z,31.2496,74.046,10,3.9,mb,,184,2.482,0.9,us,us2000h6g5,2018-11-07T18:37:08.040Z,"9km NNW of Kot Radha Kishan, Pakistan",earthquake,7.3,2,0.194,7,reviewed,us,us
2018-08-21T11:54:00.410Z,34.432,81.3792,10,4.3,mb,,89,6.777,1.19,us,us2000h5gm,2018-11-01T17:51:03.040Z,"196km NE of Rutog, China",earthquake,8,1.9,0.123,19,reviewed,us,us
2018-08-04T04:04:10.210Z,35.0467,81.0371,10,5.1,mb,,83,6.574,0.65,us,us1000g38h,2018-10-16T15:34:18.040Z,"221km NE of Rutog, China",earthquake,7.5,1.9,0.046,149,reviewed,us,us
2018-07-30T18:37:54.710Z,33.8083,72.6627,38.09,3.8,mb,,178,0.528,0.85,us,us2000ghgd,2018-10-16T15:34:14.040Z,"19km SE of Hazro, Pakistan",earthquake,8.4,15.4,0.361,2,reviewed,us,us
2018-07-21T19:37:46.500Z,34.3623,73.9968,43.84,4.2,mb,,97,0.932,0.79,us,us2000gaw5,2018-10-04T14:15:30.040Z,"24km SSE of Athmuqam, Pakistan",earthquake,5.9,6.9,0.131,16,reviewed,us,us
2018-07-21T09:19:36.900Z,34.2911,74.0789,40.06,4.5,mb,,108,0.928,0.81,us,us2000gakd,2019-02-05T17:23:58.085Z,"23km N of Uri, India",earthquake,7.2,8.4,0.08,46,reviewed,us,us
2018-07-21T00:40:35.810Z,34.9676,80.996,10,4.6,mb,,100,6.528,0.8,us,us2000gabl,2018-10-04T14:15:36.040Z,"212km NE of Rutog, China",earthquake,7.2,1.9,0.044,154,reviewed,us,us
2018-07-07T01:34:15.540Z,35.6915,74.4459,83.27,4.3,mb,,180,2.255,1.1,us,us2000fyv2,2018-09-27T14:03:43.040Z,"28km SSE of Gilgit, Pakistan",earthquake,3.5,8.2,0.113,22,reviewed,us,us
2018-06-18T23:45:02.270Z,35.8144,78.3541,10,4.6,mb,,97,4.711,0.91,us,us1000euzl,2018-09-19T15:15:48.040Z,"176km NE of Thang, India",earthquake,8.1,1.9,0.06,84,reviewed,us,us
2018-06-16T22:06:35.230Z,31.7248,77.6864,10,3.2,mb,,180,4.19,1.31,us,us1000euye,2018-09-07T17:47:08.040Z,"25km NNW of Sarahan, India",earthquake,9.3,2,0.278,3,reviewed,us,us
2018-06-14T10:15:49.470Z,32.5602,76.3615,10,4.5,mb,,154,2.814,1.24,us,us1000erd6,2018-09-07T17:47:03.040Z,"21km E of Chamba, India",earthquake,7.1,1.9,0.089,37,reviewed,us,us
2018-06-14T00:42:07.560Z,30.8612,78.2815,10,4.4,mb,,166,5.075,0.76,us,us1000ewlh,2018-09-07T17:47:09.040Z,"9km ENE of Barkot, India",earthquake,4.9,1.9,0.12,20,reviewed,us,us
2018-06-07T06:51:17.700Z,34.2276,78.0514,10,4.4,mb,,98,4.017,0.54,us,us1000ek9l,2018-08-29T16:35:03.040Z,"43km E of Leh, India",earthquake,7.8,1.9,0.079,47,reviewed,us,us
2018-06-06T18:15:52.060Z,35.7873,78.3493,23.01,5,mww,,48,4.695,0.63,us,us1000ejuj,2018-08-29T16:34:40.040Z,"174km NE of Thang, India",earthquake,7.3,1.9,0.089,12,reviewed,us,us
2018-06-06T17:41:24.020Z,30.7553,78.9228,10,4.5,mb,,151,5.594,1.19,us,us1000ejt1,2018-08-29T16:34:38.040Z,"45km E of Uttarkashi, India",earthquake,10.2,1.9,0.081,44,reviewed,us,us
2018-05-21T10:51:02.750Z,31.7412,78.4799,10,4.5,mb,,104,4.788,0.82,us,us1000e99b,2018-08-21T21:23:47.040Z,"21km WSW of Sibgyi, China",earthquake,5.2,1.8,0.097,31,reviewed,us,us
2018-05-06T07:46:55.300Z,32.8791,76.1241,41.61,4.1,mb,,139,5.905,0.94,us,us1000dz8g,2018-07-27T20:20:28.040Z,"34km N of Chamba, India",earthquake,6,9.5,0.131,16,reviewed,us,us
2018-04-19T22:52:37.900Z,31.2589,80.4048,29.83,4,mb,,163,6.474,0.98,us,us1000dnx9,2018-07-17T02:05:32.040Z,"54km S of Garyarsa, China",earthquake,6.3,8.8,0.134,15,reviewed,us,us
2018-04-12T19:51:49.610Z,31.4116,80.6072,10,4.1,mb,,162,6.4,1.01,us,us2000dz45,2018-07-07T02:25:20.040Z,"43km SSE of Garyarsa, China",earthquake,7.5,1.9,0.135,15,reviewed,us,us
2018-04-10T11:47:02.780Z,33.4769,73.455,32.94,3.6,mb,,269,0.232,0.47,us,us2000dxsa,2018-07-07T02:25:16.040Z,"14km SSE of Kahuta, Pakistan",earthquake,6.1,10.5,0.354,2,reviewed,us,us
2018-03-15T14:53:24.170Z,33.0311,76.0989,39.8,4.5,mb,,99,2.448,1.21,us,us1000d4p8,2018-06-11T21:53:46.040Z,"36km E of Bhadarwah, India",earthquake,4.4,9.1,0.085,41,reviewed,us,us
2018-03-10T03:21:25.760Z,35.7059,76.0464,10,4.4,mb,,102,3.073,0.87,us,us1000d2na,2018-06-08T05:12:18.040Z,"59km NE of Skardu, Pakistan",earthquake,7.3,1.9,0.107,25,reviewed,us,us
2017-12-25T23:51:21.620Z,34.2442,73.8406,10,4.2,mb,,67,0.759,0.65,us,us1000bw6p,2018-03-17T01:54:35.040Z,"25km NW of Uri, India",earthquake,4.7,2,0.187,8,reviewed,us,us
2017-12-10T22:58:55.730Z,34.3183,78.5677,35.55,4.6,mb,,80,4.452,0.48,us,us2000c2q3,2018-03-06T00:49:35.040Z,"92km E of Leh, India",earthquake,8.1,6.2,0.091,36,reviewed,us,us
2017-12-09T10:43:07.020Z,33.4204,76.9149,20.3,4.7,mb,,83,3.054,1,us,us2000c2cc,2018-02-28T02:32:34.040Z,"93km N of Kyelang, India",earthquake,7.3,3.2,0.064,74,reviewed,us,us
2017-12-06T23:29:03.790Z,35.7238,77.5618,74.3,5.2,mww,,30,4.097,0.82,us,us2000c1ea,2018-02-28T02:32:30.040Z,"116km NE of Thang, India",earthquake,7.1,4.3,0.086,13,reviewed,us,us
2017-12-06T15:19:49.970Z,30.6339,79.1601,10,5.1,mb,,50,5.831,0.75,us,us1000bmru,2018-02-28T02:32:29.040Z,"35km NW of Pipalkoti, India",earthquake,8.1,1.8,0.04,199,reviewed,us,us
